t,obj_x,obj_y,obj_z,joint1,joint2,joint3,joint4,joint5,joint6,gripper_closed
78.0,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
78.5,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
79.0,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
79.5,0.4000,0.1500,0.0180,0.1320,0.4024,-0.4718,-0.2280,0.0188,0.3206,0.0
80.0,0.4000,0.1500,0.0180,0.1672,0.3252,-0.3932,-0.2384,-0.0408,0.3322,0.0
80.5,0.4000,0.1500,0.0180,0.1756,0.2866,-0.4015,-0.2417,-0.1138,0.3275,0.0
81.0,0.4000,0.1500,0.0180,0.1688,0.2513,-0.4664,-0.2344,-0.2135,0.3016,0.0
81.5,0.4000,0.1500,0.0180,0.1558,0.1993,-0.5288,-0.2079,-0.3430,0.2674,0.0
82.0,0.4000,0.1500,0.0180,0.1367,0.1591,-0.5762,-0.1675,-0.4403,0.2192,0.0
82.5,0.4000,0.1500,0.0180,0.1226,0.1378,-0.6400,-0.1221,-0.4872,0.1821,0.0
83.0,0.4000,0.1500,0.0180,0.1168,0.1176,-0.6970,-0.0763,-0.5266,0.1497,0.0
83.5,0.4000,0.1500,0.0180,0.1157,0.1139,-0.7075,-0.0678,-0.5338,0.1437,0.0
84.0,0.4000,0.1500,0.0180,0.1157,0.1139,-0.7075,-0.0678,-0.5338,0.1437,0.0
84.5,0.4000,0.1500,0.0180,0.1157,0.1139,-0.7075,-0.0678,-0.5338,0.1437,0.0
85.0,0.4000,0.1500,0.0180,0.1157,0.1139,-0.7075,-0.0678,-0.5338,0.1437,0.0
85.5,0.4000,0.1500,0.0180,0.1157,0.1139,-0.7075,-0.0678,-0.5338,0.1437,0.0
86.0,0.4000,0.1500,0.0180,0.1157,0.1139,-0.7075,-0.0678,-0.5338,0.1437,0.0
86.5,0.4000,0.1500,0.0180,0.1162,0.1094,-0.7056,-0.0679,-0.5361,0.1443,0.0
87.0,0.4000,0.1500,0.0180,0.1470,-0.0715,-0.6775,-0.0720,-0.6747,0.1814,0.0
87.5,0.4000,0.1500,0.0180,0.1588,-0.1622,-0.7194,-0.0733,-0.8085,0.1902,0.0
88.0,0.4000,0.1500,0.0180,0.1965,-0.2106,-0.7819,-0.0704,-0.9106,0.2107,0.0
88.5,0.4000,0.1500,0.0180,0.2424,-0.2270,-0.8484,-0.0641,-0.9845,0.2397,0.0
89.0,0.4000,0.1500,0.0180,0.2699,-0.2309,-0.9351,-0.0584,-1.0353,0.2600,0.0
89.5,0.4000,0.1500,0.0180,0.2753,-0.2404,-1.0323,-0.0547,-1.0850,0.2588,0.0
90.0,0.4000,0.1500,0.0180,0.2763,-0.2474,-1.1135,-0.0517,-1.1211,0.2546,0.0
90.5,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
91.0,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
91.5,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
92.0,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
92.5,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
93.0,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
93.5,0.4000,0.1500,0.0180,0.2777,-0.2536,-1.1915,-0.0487,-1.1566,0.2482,0.0
94.0,0.4000,0.1500,0.0180,0.2818,-0.2640,-1.1926,-0.0480,-1.1655,0.2504,0.0
94.5,0.4000,0.1500,0.0180,0.3284,-0.4351,-1.2055,-0.0329,-1.3486,0.2874,0.0
95.0,0.4000,0.1500,0.0180,0.3348,-0.5320,-1.2408,-0.0263,-1.4629,0.2802,0.0
95.5,0.4000,0.1500,0.0180,0.3473,-0.5945,-1.3048,-0.0254,-1.5561,0.2968,0.0
96.0,0.4000,0.1500,0.0180,0.3694,-0.6398,-1.3816,-0.0224,-1.5708,0.3169,0.0
96.5,0.4000,0.1500,0.0180,0.3953,-0.6599,-1.3963,-0.0155,-1.5600,0.3530,0.0
97.0,0.4000,0.1500,0.0180,0.3675,-0.6791,-1.3963,-0.0015,-1.5291,0.3330,0.0
97.5,0.4000,0.1500,0.0180,0.2984,-0.6854,-1.3962,0.0334,-1.4886,0.2880,1.0
98.0,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
98.5,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
99.0,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
99.5,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
